Customer ID,Recency,Frequency,Monetary,Quantity,Avg_Price_Per_Unit,Age,Gender,Product_Category,Last_Purchase_Date,Cluster,Segment_Name
CUST001,39,1,150,3,50.0,34,Male,Beauty,2023-11-24,1,Low-Value Recent Customers
CUST002,309,1,1000,2,500.0,26,Female,Clothing,2023-02-27,0,High-Value Inactive Customers
CUST003,354,1,30,1,30.0,50,Male,Electronics,2023-01-13,2,Low-Value Inactive Customers
CUST004,226,1,500,1,500.0,37,Male,Clothing,2023-05-21,2,Low-Value Inactive Customers
CUST005,241,1,100,2,50.0,30,Male,Beauty,2023-05-06,2,Low-Value Inactive Customers
CUST006,252,1,30,1,30.0,45,Female,Beauty,2023-04-25,2,Low-Value Inactive Customers
CUST007,295,1,50,2,25.0,46,Male,Clothing,2023-03-13,2,Low-Value Inactive Customers
CUST008,314,1,100,4,25.0,30,Male,Electronics,2023-02-22,2,Low-Value Inactive Customers
CUST009,20,1,600,2,300.0,63,Male,Electronics,2023-12-13,1,Low-Value Recent Customers
CUST010,87,1,200,4,50.0,52,Female,Clothing,2023-10-07,1,Low-Value Recent Customers
CUST011,322,1,100,2,50.0,23,Male,Clothing,2023-02-14,2,Low-Value Inactive Customers
CUST012,64,1,75,3,25.0,35,Male,Beauty,2023-10-30,1,Low-Value Recent Customers
CUST013,150,1,1500,3,500.0,22,Male,Electronics,2023-08-05,3,High-Value Recent Customers
CUST014,350,1,120,4,30.0,64,Male,Clothing,2023-01-17,2,Low-Value Inactive Customers
CUST015,351,1,2000,4,500.0,42,Female,Electronics,2023-01-16,0,High-Value Inactive Customers
CUST016,319,1,1500,3,500.0,19,Male,Clothing,2023-02-17,0,High-Value Inactive Customers
CUST017,255,1,100,4,25.0,27,Female,Clothing,2023-04-22,2,Low-Value Inactive Customers
CUST018,247,1,50,2,25.0,47,Female,Electronics,2023-04-30,2,Low-Value Inactive Customers
CUST019,108,1,50,2,25.0,62,Female,Clothing,2023-09-16,1,Low-Value Recent Customers
CUST020,58,1,900,3,300.0,22,Male,Clothing,2023-11-05,3,High-Value Recent Customers
CUST021,353,1,500,1,500.0,50,Female,Beauty,2023-01-14,2,Low-Value Inactive Customers
CUST022,79,1,100,2,50.0,18,Male,Clothing,2023-10-15,1,Low-Value Recent Customers
CUST023,265,1,120,4,30.0,35,Female,Clothing,2023-04-12,2,Low-Value Inactive Customers
CUST024,34,1,300,1,300.0,49,Female,Clothing,2023-11-29,1,Low-Value Recent Customers
CUST025,7,1,50,1,50.0,64,Female,Beauty,2023-12-26,1,Low-Value Recent Customers
CUST026,87,1,1000,2,500.0,28,Female,Electronics,2023-10-07,3,High-Value Recent Customers
CUST027,152,1,50,2,25.0,38,Female,Beauty,2023-08-03,1,Low-Value Recent Customers
CUST028,254,1,500,1,500.0,43,Female,Beauty,2023-04-23,2,Low-Value Inactive Customers
CUST029,137,1,30,1,30.0,42,Female,Electronics,2023-08-18,1,Low-Value Recent Customers
CUST030,65,1,900,3,300.0,39,Female,Beauty,2023-10-29,3,High-Value Recent Customers
CUST031,224,1,1200,4,300.0,44,Male,Electronics,2023-05-23,0,High-Value Inactive Customers
CUST032,363,1,90,3,30.0,30,Male,Beauty,2023-01-04,2,Low-Value Inactive Customers
CUST033,285,1,100,2,50.0,50,Female,Electronics,2023-03-23,2,Low-Value Inactive Customers
CUST034,9,1,150,3,50.0,51,Female,Clothing,2023-12-24,1,Low-Value Recent Customers
CUST035,150,1,900,3,300.0,58,Female,Beauty,2023-08-05,3,High-Value Recent Customers
CUST036,192,1,900,3,300.0,52,Male,Beauty,2023-06-24,0,High-Value Inactive Customers
CUST037,224,1,75,3,25.0,18,Female,Beauty,2023-05-23,2,Low-Value Inactive Customers
CUST038,287,1,200,4,50.0,38,Male,Beauty,2023-03-21,2,Low-Value Inactive Customers
CUST039,256,1,120,4,30.0,23,Male,Clothing,2023-04-21,2,Low-Value Inactive Customers
CUST040,194,1,50,1,50.0,45,Male,Beauty,2023-06-22,2,Low-Value Inactive Customers
CUST041,314,1,50,2,25.0,34,Male,Clothing,2023-02-22,2,Low-Value Inactive Customers
CUST042,319,1,900,3,300.0,22,Male,Clothing,2023-02-17,0,High-Value Inactive Customers
CUST043,172,1,300,1,300.0,48,Female,Clothing,2023-07-14,1,Low-Value Recent Customers
CUST044,317,1,25,1,25.0,22,Female,Clothing,2023-02-19,2,Low-Value Inactive Customers
CUST045,183,1,30,1,30.0,55,Female,Electronics,2023-07-03,1,Low-Value Recent Customers
CUST046,190,1,1200,4,300.0,20,Female,Electronics,2023-06-26,0,High-Value Inactive Customers
CUST047,57,1,1500,3,500.0,40,Female,Beauty,2023-11-06,3,High-Value Recent Customers
CUST048,231,1,900,3,300.0,54,Male,Electronics,2023-05-16,0,High-Value Inactive Customers
CUST049,344,1,1000,2,500.0,54,Female,Electronics,2023-01-23,0,High-Value Inactive Customers
CUST050,131,1,75,3,25.0,27,Female,Beauty,2023-08-24,1,Low-Value Recent Customers
CUST051,92,1,75,3,25.0,27,Male,Beauty,2023-10-02,1,Low-Value Recent Customers
CUST052,303,1,300,1,300.0,36,Female,Beauty,2023-03-05,2,Low-Value Inactive Customers
CUST053,173,1,100,2,50.0,34,Male,Electronics,2023-07-13,1,Low-Value Recent Customers
CUST054,326,1,1500,3,500.0,38,Female,Electronics,2023-02-10,0,High-Value Inactive Customers
CUST055,84,1,120,4,30.0,31,Male,Beauty,2023-10-10,1,Low-Value Recent Customers
CUST056,216,1,900,3,300.0,26,Female,Clothing,2023-05-31,0,High-Value Inactive Customers
CUST057,45,1,30,1,30.0,63,Female,Beauty,2023-11-18,1,Low-Value Recent Customers
CUST058,50,1,1200,4,300.0,18,Male,Clothing,2023-11-13,3,High-Value Recent Customers
CUST059,181,1,50,1,50.0,62,Male,Clothing,2023-07-05,1,Low-Value Recent Customers
CUST060,71,1,150,3,50.0,30,Male,Beauty,2023-10-23,1,Low-Value Recent Customers
CUST061,268,1,200,4,50.0,21,Male,Beauty,2023-04-09,2,Low-Value Inactive Customers
CUST062,6,1,100,2,50.0,18,Male,Beauty,2023-12-27,1,Low-Value Recent Customers
CUST063,331,1,50,2,25.0,57,Male,Electronics,2023-02-05,2,Low-Value Inactive Customers
CUST064,343,1,100,4,25.0,49,Male,Clothing,2023-01-24,2,Low-Value Inactive Customers
CUST065,28,1,2000,4,500.0,51,Male,Electronics,2023-12-05,3,High-Value Recent Customers
CUST066,250,1,30,1,30.0,45,Female,Electronics,2023-04-27,2,Low-Value Inactive Customers
CUST067,218,1,1200,4,300.0,48,Female,Beauty,2023-05-29,0,High-Value Inactive Customers
CUST068,326,1,300,1,300.0,25,Male,Electronics,2023-02-10,2,Low-Value Inactive Customers
CUST069,247,1,75,3,25.0,56,Female,Beauty,2023-04-30,2,Low-Value Inactive Customers
CUST070,315,1,300,1,300.0,43,Female,Clothing,2023-02-21,2,Low-Value Inactive Customers
CUST071,172,1,100,4,25.0,51,Female,Beauty,2023-07-14,1,Low-Value Recent Customers
CUST072,224,1,2000,4,500.0,20,Female,Electronics,2023-05-23,0,High-Value Inactive Customers
CUST073,134,1,90,3,30.0,29,Male,Electronics,2023-08-21,1,Low-Value Recent Customers
CUST074,41,1,2000,4,500.0,18,Female,Beauty,2023-11-22,3,High-Value Recent Customers
CUST075,180,1,200,4,50.0,61,Male,Beauty,2023-07-06,1,Low-Value Recent Customers
